date,symbol,open,high,low,close,Volume BTC,Volume USD
2020-11-21,BTC/USD,18673.5,18984.0,18354.0,18717.0,1494.294048469306,27968701.7052
2020-11-20,BTC/USD,17824.5,18828.0,17769.0,18673.5,2469.5441848903524,46115033.33655
2020-11-19,BTC/USD,17792.5,18184.5,17358.0,17824.5,1875.9191918090269,33437321.6344
2020-11-18,BTC/USD,17683.0,18491.5,17250.0,17792.5,4242.481658358859,75484354.90635
2020-11-17,BTC/USD,16722.5,17873.0,16567.5,17683.0,3842.0737373239836,67939389.8971
2020-11-16,BTC/USD,15971.5,16894.5,15878.0,16722.5,2559.825317969801,42806678.87975
2020-11-15,BTC/USD,16080.5,16174.5,15787.0,15971.5,758.4178949128136,12113071.4086
2020-11-14,BTC/USD,16337.0,16340.5,15721.5,16080.5,866.4400973663754,13932789.9857
2020-11-13,BTC/USD,16300.0,16490.0,15967.5,16337.0,2444.118004517353,39929555.8398
2020-11-12,BTC/USD,15700.5,16360.0,15460.0,16300.0,3101.87049907362,50560489.1349
2020-11-11,BTC/USD,15313.5,16011.5,15293.5,15700.5,1838.027789009904,28857955.30135
2020-11-10,BTC/USD,15338.5,15481.0,15094.0,15313.5,1235.9362853952396,18926510.3064
2020-11-09,BTC/USD,15485.5,15853.0,14817.5,15338.5,3827.6664334224342,58710661.58905
2020-11-08,BTC/USD,14838.0,15667.0,14729.0,15485.5,1151.519533047044,17831855.729000002
2020-11-07,BTC/USD,15600.0,15776.0,14349.0,14838.0,3437.4145241103924,51004356.70875
2020-11-06,BTC/USD,15608.0,15974.0,15185.5,15600.0,4384.18244101282,68393246.0798
2020-11-05,BTC/USD,14166.0,15765.0,14115.5,15608.0,4503.916981692081,70297136.25025
2020-11-04,BTC/USD,14033.5,14274.0,13534.0,14166.0,2777.160496315121,39341255.5908
2020-11-03,BTC/USD,13567.0,14074.0,13292.0,14033.5,2764.201657441123,38791423.9597
2020-11-02,BTC/USD,13768.5,13846.0,13214.5,13567.0,2584.6888169971257,35066473.1802
2020-11-01,BTC/USD,13802.5,13908.0,13634.5,13768.5,2114.357928267422,29111537.13535
2020-10-31,BTC/USD,13569.5,14101.0,13430.0,13802.5,2719.9181216989678,37541669.87475
2020-10-30,BTC/USD,13468.5,13678.5,13128.0,13569.5,3160.2874157448687,42883520.08795
2020-10-29,BTC/USD,13277.5,13655.0,12983.0,13468.5,2711.9336830085017,36525678.8096
2020-10-28,BTC/USD,13642.0,13862.0,12897.0,13277.5,3513.780420794577,46654219.5371
2020-10-27,BTC/USD,13069.5,13792.5,13064.0,13642.0,2659.522995862044,36281212.70955
2020-10-26,BTC/USD,13044.0,13245.5,12780.0,13069.5,2199.9775229733345,28752606.2365
2020-10-25,BTC/USD,13124.0,13361.0,12908.5,13044.0,2333.236934506286,30434742.5737
2020-10-24,BTC/USD,12938.0,13175.5,12883.0,13124.0,1161.8068783069184,15247553.4709
2020-10-23,BTC/USD,12988.0,13037.5,12729.0,12938.0,6159.1015949258,79686456.43515
2020-10-22,BTC/USD,12807.0,13200.5,12625.5,12988.0,9850.989244783646,127944648.31125
2020-10-21,BTC/USD,11921.5,13245.5,11901.0,12807.0,11153.513500823767,142843047.40505
2020-10-20,BTC/USD,11759.0,12052.5,11689.5,11921.5,4701.163554355576,56044921.31325
2020-10-19,BTC/USD,11510.0,11835.5,11417.5,11759.0,3783.0080491155713,44484391.64955
2020-10-18,BTC/USD,11365.0,11514.5,11351.5,11510.0,1790.383167688966,20607310.2601
2020-10-17,BTC/USD,11326.5,11408.5,11270.5,11365.0,1941.2948180246372,22062815.60685
2020-10-16,BTC/USD,11510.0,11548.5,11200.0,11326.5,5506.754243212818,62372251.93575
2020-10-15,BTC/USD,11427.0,11619.5,11266.0,11510.0,3305.0683551911384,38041336.76825
2020-10-14,BTC/USD,11427.0,11554.5,11296.0,11427.0,1931.04340189026,22066032.9534
2020-10-13,BTC/USD,11535.5,11559.5,11313.5,11427.0,4470.117334650389,51080030.78305
2020-10-12,BTC/USD,11373.0,11727.0,11200.0,11535.5,4812.480877495557,55514373.16235
2020-10-11,BTC/USD,11298.0,11443.0,11280.5,11373.0,2916.1835669348457,33165755.70675
2020-10-10,BTC/USD,11058.0,11490.5,11057.5,11298.0,3521.4406110462032,39785236.0236
2020-10-09,BTC/USD,10930.5,11110.5,10826.5,11058.5,2768.3305169010264,30613583.02115
2020-10-08,BTC/USD,10669.0,10967.5,10535.0,10930.5,2436.026554860253,26626988.2579
2020-10-07,BTC/USD,10602.5,10681.0,10544.0,10669.0,1415.882965704377,15106055.3611
2020-10-06,BTC/USD,10800.0,10805.5,10523.0,10602.5,3452.9148083282244,36609529.2553
2020-10-05,BTC/USD,10669.5,10804.0,10624.0,10800.0,3231.5617789722223,34900867.2129
2020-10-04,BTC/USD,10550.0,10701.0,10526.0,10669.5,2375.24414608932,25342667.4167
2020-10-03,BTC/USD,10573.5,10610.5,10500.0,10550.0,2604.107320094787,27473332.226999998
2020-10-02,BTC/USD,10614.0,10663.5,10380.5,10573.5,10679.230791327374,112916846.7721
2020-10-01,BTC/USD,10777.5,10950.5,10448.0,10614.0,8489.285137003015,90105272.44415
2020-09-30,BTC/USD,10841.5,10849.5,10660.5,10777.5,3103.6097300162373,33449153.86525
2020-09-29,BTC/USD,10690.5,10867.5,10637.0,10841.5,3422.8455816261585,37108780.3732
2020-09-28,BTC/USD,10775.5,10951.0,10633.5,10690.5,4842.806826799495,51772026.3819
2020-09-27,BTC/USD,10731.0,10804.0,10595.5,10775.5,2852.8411898705394,30740790.24145
2020-09-26,BTC/USD,10692.5,10831.0,10655.5,10731.0,4548.278079997204,48807572.07645
2020-09-25,BTC/USD,10744.5,10763.5,10558.0,10692.5,2459.1833678512976,26294818.16075
2020-09-24,BTC/USD,10239.5,10808.5,10191.5,10745.0,4239.744201270359,45556051.44265
2020-09-23,BTC/USD,10533.5,10539.0,10136.5,10239.5,4688.279307759168,48005635.9718
2020-09-22,BTC/USD,10419.0,10577.5,10360.0,10533.5,2833.1759049461243,29843258.39475
2020-09-21,BTC/USD,10919.5,10994.0,10285.0,10419.0,3496.382332119205,36428807.51835
2020-09-20,BTC/USD,11082.5,11082.5,10763.0,10919.5,1344.8104981043089,14684658.23405
2020-09-19,BTC/USD,10937.0,11181.0,10892.0,11082.5,1433.8804254545455,15890979.8151
2020-09-18,BTC/USD,10943.0,11043.5,10816.0,10937.0,1507.175207945506,16483975.2493
2020-09-17,BTC/USD,10954.5,11047.0,10742.0,10943.0,2572.1082065110118,28146580.10385
2020-09-16,BTC/USD,10785.5,11098.5,10660.5,10954.5,4098.365901912456,44895549.2725
2020-09-15,BTC/USD,10676.5,10937.0,10621.0,10785.5,3888.735110365768,41941952.53285
2020-09-14,BTC/USD,10332.5,10757.5,10252.5,10676.5,2547.1964068795955,27195142.43805
2020-09-13,BTC/USD,10442.0,10584.0,10212.0,10332.5,2283.43670091459,23593609.7122
2020-09-12,BTC/USD,10394.0,10479.0,10273.0,10442.0,1580.7358541036199,16506043.78855
2020-09-11,BTC/USD,10340.5,10407.5,10202.5,10394.5,2806.9813622925585,29177167.77035
2020-09-10,BTC/USD,10221.0,10490.0,10216.5,10340.5,4612.787552724723,47698529.68895
2020-09-09,BTC/USD,10126.5,10349.5,9983.0,10221.0,2647.670021690637,27061835.2917
2020-09-08,BTC/USD,10374.0,10442.5,9850.0,10126.5,6412.1987385078755,64933130.5255
2020-09-07,BTC/USD,10256.5,10410.0,9879.5,10374.0,4338.835793112589,45011082.51775
2020-09-06,BTC/USD,10169.0,10351.0,9991.5,10256.5,1002.1656934041828,10278712.4344
2020-09-05,BTC/USD,10455.5,10569.0,9837.0,10167.5,2212.2267635800345,22492815.6187
2020-09-04,BTC/USD,10165.0,10636.0,9825.0,10455.5,2400.408012978815,25097465.9797
2020-09-03,BTC/USD,11396.5,11475.0,9850.0,10165.0,3031.9667723266107,30819942.2407
2020-09-02,BTC/USD,11924.5,11957.5,11133.0,11396.5,2126.9586245513974,24239883.9647
2020-09-01,BTC/USD,11654.5,12064.0,11529.0,11925.0,3325.612266020964,39657926.2723
2020-08-31,BTC/USD,11713.0,11780.5,11576.5,11654.5,1980.0680856750607,23076703.5045
2020-08-30,BTC/USD,11473.5,11721.0,11463.5,11714.5,1096.3730902087157,12843462.56525
2020-08-29,BTC/USD,11534.5,11587.0,11430.0,11473.5,1371.454722599904,15735385.75975
2020-08-28,BTC/USD,11333.0,11552.5,11280.5,11534.5,1806.217434210412,20833814.9949
2020-08-27,BTC/USD,11467.0,11592.5,11128.5,11333.0,4085.934881792112,46305900.01535
2020-08-26,BTC/USD,11327.5,11545.5,11254.0,11467.0,2737.036768269818,31385600.62175
2020-08-25,BTC/USD,11752.0,11769.0,11113.0,11327.5,2971.1630559081877,33655849.5158
2020-08-24,BTC/USD,11653.0,11829.5,11594.0,11752.0,660.6489517741661,7763946.48125
2020-08-23,BTC/USD,11671.0,11718.5,11525.5,11653.0,1598.9351896550245,18632391.76505
2020-08-22,BTC/USD,11530.0,11692.0,11369.5,11673.5,2496.2698205122715,29140205.74975
2020-08-21,BTC/USD,11863.0,11887.0,11483.0,11530.0,2118.9527734518647,24431525.4779
2020-08-20,BTC/USD,11757.0,11894.5,11677.0,11864.0,946.635899570128,11230888.3125
2020-08-19,BTC/USD,11954.5,12022.5,11565.5,11757.0,601.0116496385133,7066093.9648
2020-08-18,BTC/USD,12297.0,12402.0,11811.5,11954.5,826.107952507424,9875707.51825
2020-08-17,BTC/USD,11917.5,12485.5,11716.0,12297.0,1014.4265678010896,12474403.50425
2020-08-16,BTC/USD,11858.5,11940.5,11691.5,11917.5,526.4563426515629,6274043.46355
2020-08-15,BTC/USD,11775.5,11991.5,11689.5,11858.5,836.1453082598981,9915429.138
2020-08-14,BTC/USD,11798.0,11863.5,11656.0,11775.5,773.2729902679291,9105676.0969
2020-08-13,BTC/USD,11569.5,11811.0,11274.5,11798.0,716.6599591329039,8455154.19785
2020-08-12,BTC/USD,11388.0,11628.0,11155.0,11569.5,516.0279249060029,5970185.0772
2020-08-11,BTC/USD,11903.0,11944.5,11123.5,11388.0,996.2700810063224,11345523.6825
2020-08-10,BTC/USD,11687.0,12079.5,11534.0,11903.0,823.0313739813491,9796542.4445
2020-08-09,BTC/USD,11768.0,11800.0,11534.0,11687.0,407.23150178831185,4759314.5614
2020-08-08,BTC/USD,11608.5,11814.0,11527.0,11768.0,676.738105421482,7963854.0246
2020-08-07,BTC/USD,11772.0,11920.5,11331.0,11604.0,2368.0679644993106,27479060.66005
2020-08-06,BTC/USD,11756.0,11913.0,11575.0,11772.0,1643.8813499447842,19351771.25155
2020-08-05,BTC/USD,11199.5,11795.5,11103.0,11756.5,2088.8175825926082,24557183.90975
2020-08-04,BTC/USD,11234.0,11422.5,11024.0,11199.5,1718.0740702397427,19241570.54965
2020-08-03,BTC/USD,11070.0,11480.5,10931.0,11234.0,918.6886440537653,10320548.2273
2020-08-02,BTC/USD,11816.0,12115.5,10727.5,11070.0,1387.5243634688347,15359894.7036
2020-08-01,BTC/USD,11352.0,11885.5,11236.0,11816.0,1923.0087571386255,22722271.47435
2020-07-31,BTC/USD,11114.0,11460.0,10971.5,11352.0,2389.4518979827344,27125057.9459
2020-07-30,BTC/USD,11113.0,11188.0,10828.0,11114.0,694.648563626957,7720324.13615
2020-07-29,BTC/USD,10929.0,11353.0,10848.5,11113.0,1236.4339171060922,13740490.1208
2020-07-28,BTC/USD,11046.0,11259.5,10580.5,10929.5,1758.8378680223248,19223218.47855
